Branch_code,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
TMD,PERODUA,1,84,0.0455,5,43800
KOT,PERODUA,0,96,0.0498,8,44100
BCM,PROTON,1,84,0.0394,9,105000
BBD,MAZDA,1,60,0.0378,5,140000
BTP,PROTON,0,108,0.049,5,33000
IPG,HONDA,1,84,0.04,6,64500
JKN,VOLKSWAGEN,1,108,0.040999999999999995,6,70300
BTP,ISUZU,0,60,0.0399,10,60000
RWG,PERODUA,1,84,0.047,4,35000
SS2,HONDA,1,108,0.0386,6,101000
BBM,PERODUA,1,108,0.0485,4,44000
BTG,PERODUA,1,84,0.0421,6,69000
TPI,PEUGEOT,1,108,0.0399,10,90000
UEP,HONDA,1,108,0.040999999999999995,5,58000
KLG,HONDA,1,60,0.0388,6,80000
DCM,PERODUA,1,60,0.0455,6,34000
PCJ,PERODUA,1,84,0.0452,5,45000
KMA,HONDA,1,84,0.0388,9,100000
TJJ,PROTON,1,108,0.0492,4,32000
PCJ,HONDA,1,60,0.0388,9,80000
TIN,HONDA,1,60,0.0393,9,60000
PKG,NISSAN,1,108,0.0387,6,125000
KMA,HONDA,1,60,0.0384,9,100000
SRB,PERODUA,1,108,0.0461,5,44100
SEK,PERODUA,1,108,0.0458,10,49800
BKI,PERODUA,1,108,0.042,4,65000
SS2,AUDI,1,60,0.0368,9,240000
PCJ,HONDA,1,108,0.0403,5,75000
BBM,HONDA,1,108,0.0409,5,98000
INM,MAZDA,1,108,0.0402,9,149000
PCJ,TOYOTA,1,108,0.0393,5,66000
KMA,PERODUA,1,108,0.0498,4,33600
RJP,TOYOTA,1,108,0.0388,6,130000
TPI,PERODUA,1,84,0.0422,6,63000
KTA,HONDA,1,108,0.0392,7,72500
CHG,PROTON,1,108,0.0458,6,42800
KMA,SUBARU,1,108,0.039,6,106000
TIN,PERODUA,1,36,0.0466,9,30000
KLA,HONDA,1,84,0.0392,5,125000
SS2,HONDA,1,108,0.0396,6,117500
SS2,VOLVO,1,60,0.0382,9,160000
AMS,HONDA,1,108,0.04,9,119000
IPH,PROTON,1,108,0.0403,6,101500
PMJ,TOYOTA,1,36,0.0408,9,60000
PCJ,PROTON,1,108,0.0395,6,98000
BKI,PERODUA,1,84,0.0468,5,41300
BBD,VOLKSWAGEN,0,48,0.0409,3,50000
KMA,NISSAN,0,108,0.0405,6,125000
TPI,NISSAN,1,108,0.0408,4,45000
TSK,PERODUA,1,108,0.0423,5,72300
PCJ,PERODUA,1,60,0.0407,7,73000
TPI,PERODUA,1,84,0.0451,5,47000
JLG,HONDA,1,84,0.0395,10,100000
TMU,NISSAN,1,36,0.0409,1,60000
SRB,PERODUA,1,84,0.0481,4,30000
MLK,PERODUA,1,108,0.0475,5,25000
PCJ,MAZDA,1,24,0.0414,9,80000
KMA,MITSUBISHI,1,84,0.0393,9,117000
PCJ,MAZDA,1,108,0.0398,7,138000
PNG,HONDA,1,84,0.0391,8,67600
KEP,PERODUA,1,108,0.048,5,30000
KLA,PERODUA,1,96,0.047,2,30000
TPI,HONDA,1,108,0.0394,5,114000
BTU,MAZDA,1,84,0.0397,9,75000
BKI,NISSAN,0,84,0.0402,6,80000
KLA,HONDA,1,108,0.0405,5,84000
PCJ,MAZDA,1,84,0.0392,9,100000
BTU,TOYOTA,1,108,0.0405,6,100000
KRP,PERODUA,0,108,0.0495,4,36400
KLA,PERODUA,1,36,0.0538,5,20000
JKU,PERODUA,1,84,0.040999999999999995,5,63000
TMP,MAZDA,1,108,0.0389,6,105000
BKI,PROTON,1,108,0.048,4,37500
TMD,PERODUA,1,108,0.0471,5,28500
SEK,PERODUA,1,108,0.0491,10,37500
KTA,HONDA,1,108,0.0389,8,100000
TAI,PROTON,1,36,0.0423,9,40000
BMC,HONDA,0,108,0.0416,5,71000
RHP,MITSUBISHI,1,108,0.0399,7,128000
SS2,PERODUA,1,60,0.0465,5,40000
ATW,PROTON,1,108,0.048,9,40500
KLA,HONDA,1,108,0.04,6,75000
SPM,PERODUA,1,60,0.040999999999999995,8,60000
TPI,PROTON,1,60,0.0465,5,27000
KBH,PERODUA,0,108,0.051,4,22300
TMD,PERODUA,1,108,0.0474,4,31900
SS2,HONDA,1,108,0.0397,5,60900
PCJ,HONDA,1,108,0.04,5,59300
UTA,HYUNDAI,1,108,0.0388,9,120000
NBJ,HONDA,1,96,0.0414,6,75700
PCJ,NISSAN,1,60,0.0378,9,110000
SEG,PERODUA,1,108,0.0468,10,32000
TPI,PERODUA,0,84,0.048,7,41400
SGG,PROTON,1,60,0.0469,6,25000
KTA,NISSAN,0,108,0.0408,5,83000
PCJ,PERODUA,1,84,0.048,5,50000
SBW,PERODUA,1,84,0.0454,5,41400
RJP,MAZDA,1,60,0.0393,4,80000
PAR,MAZDA,1,108,0.0393,9,120000
KLA,HONDA,1,36,0.0408,9,50000
BTP,PROTON,1,108,0.0489,5,35300
KLU,TOYOTA,1,108,0.0399,8,120000
LKP,PERODUA,1,60,0.0415,6,50000
TPI,HONDA,1,60,0.0378,9,95500
STW,TOYOTA,1,60,0.0396,6,60000
KLA,PERODUA,1,60,0.0449,9,40000
KTU,PERODUA,1,108,0.0472,6,34000
TPI,PROTON,1,60,0.0463,6,28000
BKI,NISSAN,1,108,0.042,6,58200
RHP,PERODUA,1,108,0.0423,7,50000
KLA,PROTON,1,108,0.0481,6,44000
TPI,NISSAN,1,108,0.0387,6,135100
KRP,PERODUA,0,108,0.0483,4,47000
BKI,NISSAN,1,108,0.04,6,112000
TPI,PERODUA,1,108,0.042,8,68000
KMA,HONDA,1,108,0.0395,5,96900
TPI,MAZDA,1,108,0.0387,7,142400
STP,PERODUA,1,108,0.0466,5,46400
TPI,PERODUA,1,108,0.0455,8,50200
TPI,HONDA,1,108,0.0393,5,69400
KOT,PERODUA,1,108,0.0463,10,39800
LKW,TOYOTA,1,60,0.039,6,71000
NBJ,PERODUA,1,108,0.0485,7,36900
PCJ,HONDA,1,108,0.0395,5,58000
TPI,PERODUA,1,108,0.0495,5,32900
MLJ,PERODUA,1,60,0.0449,10,40000
MLK,HONDA,1,108,0.0392,9,148500
SS2,PROTON,1,60,0.0387,9,110000
TPI,HONDA,0,108,0.0405,8,139000
JKU,PERODUA,1,108,0.0481,5,43900
SEG,HONDA,1,96,0.0393,7,110000
APR,HONDA,1,108,0.0401,7,94800
TPI,HONDA,1,108,0.0405,8,66000
SS2,VOLKSWAGEN,1,108,0.0397,9,172000
KMA,TOYOTA,1,84,0.0383,6,100000
TMD,PERODUA,1,108,0.0465,9,32000
BBM,PROTON,1,108,0.049,5,33800
SEN,PROTON,1,108,0.0501,5,36000
PRI,NISSAN,1,84,0.039,6,120000
PGG,PROTON,1,108,0.0483,5,36000
LBS,PERODUA,1,84,0.0464,4,32000
JTA,MINI,1,84,0.0378,8,190000
TSR,MITSUBISHI,1,108,0.0389,7,98000
PCJ,MAZDA,0,108,0.0403,6,105900
TPI,PERODUA,1,108,0.0494,6,50200
TPI,PERODUA,1,108,0.0495,5,47500
TPI,TOYOTA,1,108,0.0391,5,76800
DSC,PROTON,1,60,0.0445,9,45000
BKI,PERODUA,1,108,0.0501,6,22800
KBH,PERODUA,1,108,0.0423,6,65300
SBW,PERODUA,1,60,0.0478,5,25000
UEP,HONDA,1,108,0.0397,9,109600
PCJ,ISUZU,0,84,0.0393,7,86600
TPI,PERODUA,1,60,0.0476,10,28600
TPI,PROTON,1,60,0.0388,6,100000
RWG,TOYOTA,1,108,0.0392,6,75000
PCJ,TOYOTA,1,108,0.0392,7,70000
BTU,NISSAN,0,108,0.0402,5,124800
PCJ,PROTON,1,60,0.0477,9,22000
MLK,PERODUA,1,84,0.0476,5,31500
BTP,PERODUA,1,84,0.046,5,30000
BKI,PERODUA,1,108,0.0485,6,42900
SEG,TOYOTA,1,60,0.0379,6,123700
SS2,HONDA,1,108,0.0399,6,84000
TWU,TOYOTA,1,108,0.04,7,132000
MJL,PERODUA,1,108,0.0482,6,58000
MLK,PERODUA,1,48,0.0478,7,33000
MLK,PERODUA,1,84,0.0449,4,51000
TWU,PERODUA,1,108,0.048,7,40000
BTP,PROTON,1,60,0.0455,10,34000
TPI,HONDA,1,108,0.0402,7,81000
SAN,PERODUA,1,108,0.0404,7,73500
TPI,PERODUA,1,84,0.0456,7,37700
IPP,TOYOTA,1,108,0.0402,5,83800
KMA,PERODUA,1,60,0.045,6,38900
TPI,TOYOTA,1,108,0.0409,5,50000
JLG,PERODUA,1,84,0.047,6,50200
BKI,ISUZU,1,108,0.0408,5,85000
THO,NISSAN,1,108,0.0393,9,128000
TPI,NISSAN,1,108,0.04,6,100000
TMD,TOYOTA,1,108,0.0398,6,70500
TGM,PROTON,1,108,0.0461,4,41500
PCJ,PROTON,1,108,0.0478,9,38000
PNG,HONDA,1,84,0.0393,5,50000
KEP,PERODUA,0,60,0.0474,7,30000
PJA,MAZDA,1,108,0.0381,7,165800
TMD,PROTON,1,108,0.0501,5,41200
BHU,PROTON,1,108,0.0463,5,34500
RHP,HONDA,1,108,0.0412,4,50000
SHG,TOYOTA,1,108,0.0408,5,81000
IIS,HONDA,1,84,0.039,6,110000
KLA,PERODUA,1,84,0.0449,5,45800
SLG,NISSAN,1,108,0.0387,6,125600
KRP,PERODUA,1,60,0.0488,4,18700
RHP,FORD,1,108,0.0388,6,112400
RHP,PERODUA,1,108,0.0468,3,40800
BKI,PROTON,1,108,0.0491,5,37900
TPI,PERODUA,1,108,0.0485,5,50100
SRB,ISUZU,0,84,0.0398,5,60000
TPI,PERODUA,1,108,0.0427,7,40000
TPI,HONDA,1,48,0.043,6,30000
BTP,PROTON,1,60,0.0449,6,40000
IIS,PERODUA,1,108,0.0773,5,70000
STW,PERODUA,1,108,0.0492,8,32000
SRB,PERODUA,1,84,0.046,6,36000
SRB,PROTON,1,60,0.0465,10,37300
BCV,PERODUA,1,60,0.0468,10,30500
KEP,MAZDA,1,72,0.0347,9,70000
JKL,PERODUA,1,84,0.047,7,60000
PNT,PROTON,1,108,0.048,6,45100
IIS,NISSAN,1,60,0.0386,5,90000
BTP,NISSAN,1,60,0.0385,10,94000
KLA,PROTON,0,60,0.0388,5,96000
SJA,HONDA,1,60,0.0378,9,100000
MLK,PROTON,1,108,0.0473,5,50500
KLA,PERODUA,0,108,0.05,5,50200
DSH,VOLKSWAGEN,1,60,0.0418,6,30000
SRB,HONDA,1,60,0.0396,10,59000
RHP,PROTON,1,84,0.0394,5,100000
PAP,PERODUA,1,108,0.0477,6,48600
TPI,PERODUA,1,60,0.040999999999999995,9,60000
PCJ,FORD,0,108,0.04,6,115000
KTA,NISSAN,1,108,0.040999999999999995,5,61000
TMD,TOYOTA,1,60,0.0388,10,80000
KBU,HONDA,1,108,0.0391,6,78000
TPI,HONDA,1,84,0.0388,7,110000
SMB,TOYOTA,0,108,0.0411,8,190000
BTP,PROTON,1,72,0.0471,4,36500
TMD,PERODUA,1,108,0.0476,6,50900
KLA,TOYOTA,1,84,0.0386,7,76500
IIS,HONDA,1,60,0.0387,10,98000
KMA,HYUNDAI,1,60,0.0381,8,140000
SBN,RENAULT,1,84,0.039,7,94000
SIL,PERODUA,1,84,0.0475,10,34900
TPI,PERODUA,0,108,0.049,6,40900
BGJ,BMW,1,84,0.0375,9,500000
BCM,PERODUA,1,84,0.0455,5,34300
BMC,PERODUA,1,84,0.0449,5,50300
DUT,MAZDA,0,84,0.039,9,85000
TPI,TOYOTA,1,108,0.0391,6,83700
ATH,TOYOTA,1,108,0.0391,9,82700
KLA,PROTON,0,84,0.0393,9,89000
TPI,TOYOTA,1,108,0.0405,8,136000
BKI,PERODUA,1,108,0.0492,4,35000
SBW,TOYOTA,1,60,0.0403,7,50000
TPI,HONDA,1,60,0.039,9,100000
MLK,PERODUA,1,84,0.047,6,38500
PCJ,PERODUA,1,84,0.046,7,32600
NBJ,PERODUA,1,108,0.049,7,31200
IIS,PERODUA,1,108,0.0484,10,45000
DSH,MAZDA,0,108,0.0402,5,121000
BCM,VOLKSWAGEN,1,36,0.0416,9,50000
KLA,PERODUA,1,84,0.0481,5,44300
KLA,PROTON,1,48,0.0469,6,30000
ASB,PROTON,0,84,0.0396,7,60000
PDN,TOYOTA,1,60,0.0392,6,50000
TMD,NISSAN,1,108,0.0405,5,60000
TSG,PERODUA,1,108,0.0462,6,56000
PCJ,PERODUA,1,60,0.0448,7,34800
IPG,BMW,0,108,0.0395,9,275000
KJG,TOYOTA,1,60,0.0391,8,75400
MUR,PROTON,1,108,0.04,7,80000
SRB,PERODUA,1,108,0.0463,6,38000
BTU,PERODUA,1,60,0.0497,6,20000
SGA,MAZDA,1,60,0.0383,7,110000
JBU,TOYOTA,1,36,0.040999999999999995,5,50000
SGA,TOYOTA,1,108,0.0404,6,73000
MUR,TOYOTA,1,60,0.0393,10,60000
KMA,PERODUA,1,60,0.0475,5,30000
TTI,PERODUA,1,84,0.0458,5,35000
SS2,PERODUA,1,108,0.0421,6,72000
BBT,PROTON,1,36,0.0409,7,60000
ASR,PERODUA,1,108,0.0485,5,50000
SRB,PERODUA,1,48,0.0446,9,48000
PMJ,PERODUA,1,84,0.0452,6,44700
KMA,PERODUA,1,60,0.046,4,30000
BET,PERODUA,1,108,0.0484,5,46100
STW,TOYOTA,0,60,0.0388,8,120000
RJP,PERODUA,1,60,0.0447,10,72000
TPI,TOYOTA,1,84,0.0382,9,116000
KMA,PROTON,1,60,0.0454,6,34400
BKI,HONDA,1,108,0.0403,7,76000
KLA,TOYOTA,1,108,0.0402,5,67500
SS2,HONDA,1,108,0.0391,6,84000
TMD,PERODUA,1,60,0.0445,5,45000
MUR,MAZDA,0,84,0.0394,9,80000
PCJ,PERODUA,1,108,0.0504,5,32000
SGG,PERODUA,1,108,0.0471,7,35500
TSR,PROTON,1,108,0.0398,7,107100
BKI,PERODUA,1,108,0.0487,6,41800
IPP,SUBARU,1,108,0.0399,7,120000
PCJ,NISSAN,1,108,0.0393,7,120000
PCJ,SUBARU,0,108,0.0396,6,120000
TPI,PERODUA,1,84,0.0467,5,48700
BTU,TOYOTA,1,108,0.0402,6,93000
TSG,PERODUA,1,108,0.0422,6,68200
RHP,PERODUA,1,108,0.047,7,33000
SPP,PERODUA,1,108,0.0493,4,38900
PCJ,HONDA,1,84,0.0383,8,100000
JLG,PROTON,1,108,0.0401,10,100000
SS2,PERODUA,1,108,0.0476,5,50200
RHP,PROTON,1,108,0.0492,5,36000
BTP,PERODUA,1,108,0.0487,4,34100
PNG,HONDA,1,60,0.0392,6,50000
SEG,PROTON,0,60,0.0387,5,114000
SS2,HONDA,1,108,0.0398,5,68600
SBW,PERODUA,1,108,0.0415,6,65000
ATW,HONDA,1,84,0.0382,5,110000
MLR,PERODUA,1,108,0.042,6,72300
IPG,NISSAN,1,108,0.0392,5,72600
IIS,PERODUA,1,84,0.0457,6,40000
SRB,PERODUA,1,108,0.0475,8,30000
DSH,MAZDA,1,84,0.039,8,120000
TPI,VOLKSWAGEN,0,108,0.04,7,165000
TPI,HONDA,1,108,0.04,6,74400
UTA,HONDA,1,60,0.0396,9,60000
BKI,TOYOTA,1,108,0.0391,7,77000
GRN,PERODUA,1,108,0.047,5,38000
TST,PEUGEOT,1,108,0.0389,7,166000
TPI,PROTON,1,48,0.0515,8,20000
KMA,PERODUA,1,36,0.054000000000000006,10,20000
RHP,PERODUA,1,108,0.0484,5,40000
BTN,PERODUA,1,84,0.0413,8,72300
SS2,HONDA,1,108,0.0387,7,128000
TGK,NISSAN,1,60,0.0391,9,90000
TPI,HONDA,1,60,0.0398,7,50000
TSR,HONDA,1,108,0.0408,5,84700
UEP,TOYOTA,1,84,0.0396,10,70000
BTP,PROTON,1,60,0.0403,7,50000
TTI,MITSUBISHI,0,84,0.0395,8,80000
TPI,HONDA,1,60,0.0396,9,70000
MLK,HONDA,1,108,0.0401,6,97400
LKP,TOYOTA,1,84,0.0404,6,49000
TPI,PERODUA,1,84,0.0461,5,31900
KRP,PERODUA,1,60,0.0462,5,28500
MLJ,TOYOTA,1,60,0.0395,5,83000
RUB,PERODUA,1,84,0.045,5,46800
MUR,PERODUA,1,108,0.047,10,30000
BKI,PERODUA,1,108,0.0493,5,33500
SBW,PERODUA,1,60,0.0465,4,37500
SAT,SUBARU,0,108,0.0407,5,95000
BMC,PROTON,1,108,0.0475,7,64300
PCJ,PROTON,1,108,0.0394,8,115000
MJL,PERODUA,1,108,0.0485,5,50200
PCJ,NISSAN,0,60,0.0393,5,80000
GRN,PROTON,1,36,0.0497,5,25000
KLA,HONDA,1,108,0.0391,6,80000
BBM,PERODUA,1,84,0.0457,5,33000
KMA,TOYOTA,0,72,0.0394,6,100000
JKN,FORD,1,72,0.039,5,110000
TMO,PERODUA,1,84,0.042,6,50000
PCJ,SUBARU,0,84,0.0392,9,97000
SBJ,MAZDA,1,84,0.0382,9,150000
KKB,TOYOTA,1,108,0.0407,6,80500
BTP,HONDA,1,60,0.0402,7,60000
MUR,PERODUA,1,108,0.0459,5,58200
KKB,PERODUA,1,108,0.0484,6,38900
BKI,PERODUA,1,108,0.0489,5,40700
KLU,HONDA,0,84,0.0412,7,40000
BBM,PERODUA,1,60,0.048,4,25000
MUR,PERODUA,1,36,0.0469,5,39000
SPP,PROTON,1,60,0.046,9,30000
TPI,MERCEDES BENZ,1,108,0.0379,9,365000
KGR,MAZDA,1,108,0.0398,9,150000
LKT,VOLKSWAGEN,0,84,0.0405,9,121500
JTA,PERODUA,1,84,0.046,5,35000
TMD,LEXUS,1,72,0.0375,9,330000
BKI,PERODUA,1,108,0.049,5,39300
KRP,PROTON,1,108,0.0474,4,49000
TPI,MAZDA,1,84,0.038,9,141000
BKI,PROTON,1,108,0.047,5,43000
PCJ,PERODUA,1,108,0.0465,7,41400
TPI,PEUGEOT,1,108,0.0404,6,71700
BTU,HONDA,1,108,0.0404,8,95000
TEQ,HONDA,1,84,0.039,6,95000
KLA,MERCEDES BENZ,1,48,0.0377,8,250000
SRB,PROTON,1,108,0.0483,4,33800
KLA,PERODUA,1,72,0.0484,4,28000
KUI,BMW,1,84,0.0378,10,180000
DUT,PERODUA,1,108,0.049,5,34500
BKI,ISUZU,0,108,0.0408,5,106000
SS2,PERODUA,1,60,0.0453,5,36000
TPI,VOLKSWAGEN,1,84,0.0388,6,68300
TPI,PERODUA,1,108,0.0486,6,35500
PGG,HONDA,1,84,0.04,10,62000
BTP,TOYOTA,1,60,0.0406,10,50000
BTP,PERODUA,1,108,0.0466,5,39100
SRB,PROTON,1,60,0.046,6,30200
JLG,TOYOTA,1,84,0.0396,7,67000
SRB,HONDA,1,108,0.0392,8,74000
PCJ,TOYOTA,1,108,0.0392,5,71000
SBW,PERODUA,1,84,0.0452,5,43600
SRB,PERODUA,1,36,0.0473,7,39000
PCJ,HONDA,1,108,0.0398,7,106000
SRB,PERODUA,1,108,0.0486,6,41000
TMD,PERODUA,1,108,0.0489,5,48600
KEP,PERODUA,1,60,0.0469,6,30300
PCJ,PERODUA,1,60,0.0445,9,45000
SRB,PERODUA,1,108,0.0489,5,32000
TMD,PERODUA,1,84,0.0472,6,25500
STP,PERODUA,1,108,0.0474,4,32000
TPI,PERODUA,0,108,0.0497,6,34500
BKS,VOLKSWAGEN,1,60,0.0386,9,130000
MUR,HONDA,1,108,0.0395,5,70000
KLA,TOYOTA,1,108,0.0398,5,47600
TPI,PERODUA,1,108,0.0481,10,39100
TPI,HONDA,1,84,0.0399,5,69200
BTP,PROTON,1,84,0.0457,8,37000
SS2,BMW,1,60,0.0384,9,100000
MAS,MITSUBISHI,0,108,0.040999999999999995,5,70000
MUR,PROTON,1,60,0.0396,7,60000
BYB,TOYOTA,1,108,0.0402,5,50000
BBT,PROTON,1,60,0.0454,8,36700
TGK,PROTON,1,84,0.0459,5,34500
JBU,VOLKSWAGEN,1,60,0.0384,9,100000
PKG,HONDA,1,108,0.0414,5,77600
KJN,PROTON,1,84,0.0454,9,41500
PCJ,MERCEDES BENZ,1,108,0.0392,9,265000
TSQ,SUBARU,1,36,0.0403,7,60000
CHG,FORD,1,108,0.0387,9,143000
PCJ,PERODUA,1,108,0.0483,5,45800
KLA,HONDA,1,108,0.0395,7,100000
SS2,HONDA,1,108,0.0397,7,75000
BTU,PERODUA,1,84,0.0467,5,43100
TPI,PERODUA,1,108,0.0485,10,45000
PCJ,PERODUA,1,60,0.0456,10,41000
TPI,PERODUA,1,84,0.0459,8,34100
TPI,TOYOTA,1,108,0.0391,7,77800
TIN,HONDA,1,60,0.0388,6,88000
BKJ,PERODUA,1,108,0.0475,5,45500
SRB,NISSAN,1,108,0.0392,7,57000
BDR,TOYOTA,1,84,0.0391,5,55000
RHP,MAZDA,1,84,0.0383,6,100000
KMN,PERODUA,1,108,0.048,5,55700
TPI,PERODUA,1,108,0.0484,5,38000
TPI,MAZDA,1,108,0.0387,6,135000
PCJ,BMW,1,108,0.0392,9,165000
TWU,PROTON,1,84,0.0466,6,28000
KMA,VOLKSWAGEN,1,108,0.0405,8,86000
BTP,TOYOTA,1,84,0.0388,6,160000
KMT,PROTON,1,84,0.0394,6,100000
KTN,PROTON,1,84,0.0458,5,35400
IIS,PROTON,1,84,0.0398,7,95900
KTA,TOYOTA,1,60,0.039,7,70000
SRB,PERODUA,1,108,0.0485,10,37900
MJL,PERODUA,1,84,0.0449,9,45800
SEN,PERODUA,1,108,0.0418,6,72600
TPI,TOYOTA,1,36,0.0426,9,40000
PCJ,BMW,1,84,0.038,9,186900
TMD,PERODUA,1,108,0.0415,6,69000
SWY,PERODUA,1,108,0.0501,7,46700
DSH,HONDA,1,108,0.040999999999999995,5,65000
MBU,PROTON,1,84,0.0455,5,39000
SRB,PERODUA,1,108,0.049,4,30000
SGG,PROTON,1,108,0.0479,5,36000
BMC,NISSAN,1,108,0.040999999999999995,8,124000
SRB,PERODUA,1,108,0.0475,5,32000
KTA,HONDA,1,108,0.04,5,109000
SPP,PERODUA,1,108,0.049,6,21400
MLK,PROTON,1,108,0.0486,4,35000
KTA,NISSAN,1,108,0.0405,5,82000
KLA,PROTON,1,60,0.0448,10,41500
BKI,PROTON,1,84,0.0476,5,31500
BKI,PERODUA,1,108,0.0421,5,74000
KMA,HONDA,1,108,0.04,6,89000
SEG,PROTON,1,108,0.0492,4,40400
BTP,PERODUA,0,108,0.0485,4,50000
KC1,PERODUA,1,108,0.049,5,37300
APR,PERODUA,1,60,0.0442,5,50200
KTA,PROTON,1,60,0.0388,10,100000
TPI,PERODUA,1,108,0.0485,5,37800
TAI,PERODUA,1,108,0.0484,5,38900
TSS,FORD,1,108,0.0388,5,110000
BKI,ISUZU,0,108,0.0401,5,100000
SBW,NISSAN,1,60,0.0384,8,100000
BBT,PEUGEOT,1,60,0.0376,9,130000
IIS,TOYOTA,1,108,0.0404,6,89000
SEL,FORD,1,48,0.039,9,100000
STM,PERODUA,1,60,0.040999999999999995,6,53500
KLA,NISSAN,1,108,0.0399,7,120000
TAB,PROTON,1,84,0.0461,9,32000
SDK,PROTON,1,96,0.0504,5,35100
SRB,PROTON,1,60,0.0472,7,24000
SS2,TOYOTA,1,108,0.039,7,78300
SMB,PERODUA,1,108,0.0495,4,33500
TMD,HONDA,1,60,0.0384,9,100000
KCH,SUBARU,0,60,0.0403,7,50000
SGG,PERODUA,1,108,0.0463,4,44500
JLG,HONDA,1,108,0.0408,5,68000
MLK,MITSUBISHI,1,84,0.0394,6,118000
TPI,PERODUA,1,60,0.0457,6,39000
KMA,PERODUA,1,84,0.0459,5,34300
RWG,TOYOTA,1,108,0.0405,9,75000
KTA,PERODUA,1,108,0.0414,5,75500
MUR,PERODUA,1,60,0.0451,6,38000
KLA,HONDA,1,108,0.0398,6,75000
BHU,PROTON,1,96,0.0494,5,36000
TPI,PERODUA,0,84,0.0474,4,37000
SRB,KIA,1,108,0.0401,7,100000
STX,PERODUA,1,108,0.0464,5,52000
KTA,PERODUA,1,108,0.047,4,42000
JKU,PERODUA,1,84,0.047,4,28000
TPI,PERODUA,1,60,0.0457,10,30000
PGG,PERODUA,1,96,0.048,5,48600
PCG,HONDA,1,108,0.0402,5,65000
RJP,TOYOTA,1,84,0.0393,7,85000
PCJ,NISSAN,0,108,0.0408,4,53000
BKI,PERODUA,1,108,0.0488,3,41800
KLA,NISSAN,0,108,0.0404,6,97000
TPI,MAZDA,1,84,0.0387,8,120000
BTP,PERODUA,1,60,0.0467,4,32900
OUG,PROTON,1,108,0.0484,7,30000
BTU,PROTON,1,84,0.0404,6,100000
IIS,PROTON,1,108,0.0397,6,113000
SS2,HONDA,1,108,0.0394,5,77500
JRT,PROTON,1,84,0.0458,6,36000
PAR,MERCEDES BENZ,1,108,0.0388,9,233800
SRE,PERODUA,1,108,0.0424,6,70000
PST,TOYOTA,1,84,0.0387,9,70000
BTU,PERODUA,1,108,0.0493,8,37600
TPI,PERODUA,1,36,0.053,10,20000
TPI,PROTON,1,108,0.0403,5,108000
SS2,HONDA,1,84,0.0397,10,65000
SBW,HONDA,1,108,0.0409,5,72000
KTU,PROTON,1,60,0.0398,6,70000
PAP,PERODUA,1,84,0.0459,10,41000
RHP,PERODUA,1,108,0.0491,10,33200
PNG,HONDA,1,60,0.0394,10,60000
TSG,PERODUA,1,108,0.0495,4,32000
TDI,PERODUA,1,108,0.0467,5,45000
SRB,MAZDA,1,84,0.038,9,147000
IIS,PROTON,1,108,0.0476,4,33000
UEP,HONDA,1,108,0.0405,5,67500
JBU,PERODUA,1,108,0.0502,3,30000
TAB,VOLKSWAGEN,1,108,0.0338,9,180000
BBM,TOYOTA,1,108,0.0405,7,80000
PCJ,PERODUA,1,108,0.0481,7,38000
TPI,TOYOTA,1,84,0.0398,5,59000
JKN,PERODUA,1,84,0.0485,1,48000
TAB,KIA,1,60,0.0407,6,40000
TPI,PERODUA,1,60,0.0478,5,25000
MUR,PERODUA,1,108,0.0464,5,50000
IIS,PERODUA,1,108,0.0476,10,30000
BKI,ISUZU,1,108,0.0407,6,117000
KLA,NISSAN,1,60,0.0382,6,120000
TPI,PERODUA,1,84,0.0413,6,72400
SRB,NISSAN,1,72,0.0393,5,100000
KLA,PERODUA,1,84,0.0465,4,26500
TPI,TOYOTA,1,60,0.0407,9,40000
SRB,PERODUA,1,60,0.046,7,30000
BTU,TOYOTA,1,108,0.0402,5,85000
TPI,PERODUA,1,108,0.0461,5,50000
RWG,PERODUA,1,84,0.0482,5,25000
KTA,PROTON,1,84,0.0463,5,30000
BTP,PERODUA,1,108,0.0483,4,40000
TPI,HONDA,1,108,0.0408,9,80000
TMD,NISSAN,1,60,0.0386,5,90000
KLA,PERODUA,1,36,0.05,9,25000
SRB,PERODUA,1,108,0.0464,10,50400
KTN,PROTON,1,108,0.049,5,36000
MLK,PEUGEOT,0,108,0.0399,6,135000
KGR,PERODUA,1,108,0.0485,5,42000
MLK,KIA,1,108,0.0399,8,85500
BTP,HONDA,1,108,0.0399,7,63200
KSG,TOYOTA,0,60,0.0396,5,60000
KRP,HONDA,1,108,0.0388,6,123000
TMD,TOYOTA,1,60,0.040999999999999995,10,30000
JLG,PERODUA,1,72,0.0407,7,62000
BKI,PROTON,1,60,0.039,9,100000
TPI,HONDA,1,108,0.0405,5,67000
MAS,MITSUBISHI,0,108,0.040999999999999995,2,71000
BKI,PERODUA,1,108,0.0466,5,39000
SS2,MAZDA,1,84,0.0386,6,90000
IIS,PERODUA,1,108,0.0468,4,40500
BYB,TOYOTA,1,108,0.04,10,84800
BKI,PROTON,1,108,0.0498,5,30000
PCJ,NISSAN,1,60,0.039,8,100000
RHP,HONDA,1,84,0.0383,9,100000
DSC,NISSAN,1,72,0.0393,10,70000
BTP,PERODUA,1,108,0.05,5,37700
MJL,FORD,1,48,0.0394,8,80000
SPI,HONDA,1,84,0.0387,6,70000
